GENE NAME	Gene stable ID	Transcript stable ID	Protein stable ID	NCBI gene ID
AAP-1	WBGene00000001	Y110A7A.10	Y110A7A.10	172141
AAT-1	WBGene00000002	F27C8.1	F27C8.1	177793
AAT-2	WBGene00000003	F07C3.7	F07C3.7	184126
AAT-3	WBGene00000004	F52H2.2a	F52H2.2a	180557
AAT-3	WBGene00000004	F52H2.2b	F52H2.2b	180557
AAT-4	WBGene00000005	T13A10.10a	T13A10.10a	177388
AAT-4	WBGene00000005	T13A10.10b		177388
AAT-5	WBGene00000006	C55C2.5a	C55C2.5a	171814
AAT-5	WBGene00000006	C55C2.5b		171814
AAT-5	WBGene00000006	C55C2.5c		171814
AAT-5	WBGene00000006	C55C2.5d		171814
AAT-6	WBGene00000007	T11F9.4a	T11F9.4a	188421
AAT-6	WBGene00000007	T11F9.4b.1	T11F9.4b.1	188421
AAT-6	WBGene00000007	T11F9.4b.2	T11F9.4b.2	188421
AAT-7	WBGene00000008	F54D12.3	F54D12.3	186240
AAT-8	WBGene00000009	F28F9.4	F28F9.4	185079
AAT-9	WBGene00000010	Y53H1C.1a	Y53H1C.1a	190250
AAT-9	WBGene00000010	Y53H1C.1b	Y53H1C.1b	190250
ABF-1	WBGene00000012	C50F2.9	C50F2.9	266827
ABF-2	WBGene00000013	C50F2.10	C50F2.10	266826
ABF-3	WBGene00000014	F54B8.5	F54B8.5	186202
ABF-4	WBGene00000015	Y38H6C.22	Y38H6C.22	189702
ABF-5	WBGene00000016	T22H6.5	T22H6.5	188770
ABF-6	WBGene00000017	T22H6.7	T22H6.7	181418
ABL-1	WBGene00000018	M79.1a	M79.1a	181261
ABL-1	WBGene00000018	M79.1b	M79.1b	181261
ABL-1	WBGene00000018	M79.1c	M79.1c	181261
ABT-1	WBGene00000019	C24F3.5a	C24F3.5a	182849
ABT-1	WBGene00000019	C24F3.5b	C24F3.5b	182849
ABT-2	WBGene00000020	F12B6.1a	F12B6.1a	171782
ABT-2	WBGene00000020	F12B6.1b	F12B6.1b	171782
ABT-4	WBGene00000022	Y39D8C.1	Y39D8C.1	178559
ABT-5	WBGene00000023	Y53C10A.9	Y53C10A.9	173081
ABU-1	WBGene00000024	AC3.3	AC3.3	181800
ABU-2	WBGene00000025	F19G12.7	F19G12.7	184695
ABU-3	WBGene00000026	F31A3.1	F31A3.1	185133
ABU-4	WBGene00000027	Y5H2A.3	Y5H2A.3	353458
ABU-5	WBGene00000028	Y105C5A.4	Y105C5A.4	190870
ABU-6	WBGene00000029	C03A7.7	C03A7.7	178903
ABU-7	WBGene00000030	C03A7.8	C03A7.8	182139
ABU-8	WBGene00000031	C03A7.14	C03A7.14	178904
ABU-9	WBGene00000032	R09F10.2	R09F10.2	187749
ABU-9	WBGene00000032	R09F10.2	R09F10.2	187751
ABU-10	WBGene00000033	F35A5.3	F35A5.3	185248
ABU-11	WBGene00000034	T01D1.6	T01D1.6	173404
ACE-1	WBGene00000035	W09B12.1.1	W09B12.1.1	181706
ACE-1	WBGene00000035	W09B12.1.2	W09B12.1.2	181706
ACE-2	WBGene00000036	Y44E3A.2	Y44E3A.2	171905
ACE-3	WBGene00000037	Y48B6A.8	Y48B6A.8	175076
ACE-4	WBGene00000038	Y48B6A.7	Y48B6A.7	175074
ACN-1	WBGene00000039	C42D8.5a	C42D8.5a	180780
ACN-1	WBGene00000039	C42D8.5b	C42D8.5b	180780
