GENE NAME	Gene stable ID	Transcript stable ID	Protein stable ID
AAP-1	WBGene00000001	Y110A7A.10	Y110A7A.10
AAT-1	WBGene00000002	F27C8.1	F27C8.1
AAT-2	WBGene00000003	F07C3.7	F07C3.7
AAT-3	WBGene00000004	F52H2.2a	F52H2.2a
AAT-3	WBGene00000004	F52H2.2b	F52H2.2b
AAT-4	WBGene00000005	T13A10.10a	T13A10.10a
AAT-4	WBGene00000005	T13A10.10b
AAT-5	WBGene00000006	C55C2.5a	C55C2.5a
AAT-5	WBGene00000006	C55C2.5b
AAT-5	WBGene00000006	C55C2.5c
AAT-5	WBGene00000006	C55C2.5d
AAT-6	WBGene00000007	T11F9.4a	T11F9.4a
AAT-6	WBGene00000007	T11F9.4b.1	T11F9.4b.1
AAT-6	WBGene00000007	T11F9.4b.2	T11F9.4b.2
AAT-7	WBGene00000008	F54D12.3	F54D12.3
AAT-8	WBGene00000009	F28F9.4	F28F9.4
AAT-9	WBGene00000010	Y53H1C.1a	Y53H1C.1a
AAT-9	WBGene00000010	Y53H1C.1b	Y53H1C.1b
ABF-1	WBGene00000012	C50F2.9	C50F2.9
ABF-2	WBGene00000013	C50F2.10	C50F2.10
ABF-3	WBGene00000014	F54B8.5	F54B8.5
ABF-4	WBGene00000015	Y38H6C.22	Y38H6C.22
ABF-5	WBGene00000016	T22H6.5	T22H6.5
ABF-6	WBGene00000017	T22H6.7	T22H6.7
ABL-1	WBGene00000018	M79.1a	M79.1a
ABL-1	WBGene00000018	M79.1b	M79.1b
ABL-1	WBGene00000018	M79.1c	M79.1c
ABT-1	WBGene00000019	C24F3.5a	C24F3.5a
ABT-1	WBGene00000019	C24F3.5b	C24F3.5b
ABT-2	WBGene00000020	F12B6.1a	F12B6.1a
ABT-2	WBGene00000020	F12B6.1b	F12B6.1b
ABT-4	WBGene00000022	Y39D8C.1	Y39D8C.1
ABT-5	WBGene00000023	Y53C10A.9	Y53C10A.9
ABU-1	WBGene00000024	AC3.3	AC3.3
ABU-2	WBGene00000025	F19G12.7	F19G12.7
ABU-3	WBGene00000026	F31A3.1	F31A3.1
ABU-4	WBGene00000027	Y5H2A.3	Y5H2A.3
ABU-5	WBGene00000028	Y105C5A.4	Y105C5A.4
ABU-6	WBGene00000029	C03A7.7	C03A7.7
ABU-7	WBGene00000030	C03A7.8	C03A7.8
ABU-8	WBGene00000031	C03A7.14	C03A7.14
ABU-9	WBGene00000032	R09F10.2	R09F10.2
ABU-10	WBGene00000033	F35A5.3	F35A5.3
ABU-11	WBGene00000034	T01D1.6	T01D1.6
ACE-1	WBGene00000035	W09B12.1.1	W09B12.1.1
ACE-1	WBGene00000035	W09B12.1.2	W09B12.1.2
ACE-2	WBGene00000036	Y44E3A.2	Y44E3A.2
ACE-3	WBGene00000037	Y48B6A.8	Y48B6A.8
ACE-4	WBGene00000038	Y48B6A.7	Y48B6A.7
ACN-1	WBGene00000039	C42D8.5a	C42D8.5a
ACN-1	WBGene00000039	C42D8.5b	C42D8.5b
ACO-1	WBGene00000040	ZK455.1	ZK455.1
ACO-2	WBGene00000041	F54H12.1a	F54H12.1a
ACO-2	WBGene00000041	F54H12.1b	F54H12.1b
ACO-2	WBGene00000041	F54H12.1c.1	F54H12.1c.1
ACO-2	WBGene00000041	F54H12.1c.2	F54H12.1c.2
ACR-2	WBGene00000042	K11G12.2	K11G12.2
ACR-3	WBGene00000043	K11G12.7	K11G12.7
ACR-5	WBGene00000044	K03F8.2	K03F8.2
ACR-6	WBGene00000045	ZK973.5	ZK973.5
ACR-7	WBGene00000046	T09A5.3	T09A5.3
ACR-8	WBGene00000047	ZC504.2	ZC504.2
ACR-9	WBGene00000048	C40C9.2	C40C9.2
ACR-10	WBGene00000049	R02E12.8	R02E12.8
ACR-11	WBGene00000050	D2092.3	D2092.3
ACR-12	WBGene00000051	R01E6.4a	R01E6.4a
ACR-12	WBGene00000051	R01E6.4b	R01E6.4b
ACR-14	WBGene00000053	T05C12.2	T05C12.2
ACR-15	WBGene00000054	F25G6.4	F25G6.4
ACR-16	WBGene00000055	F25G6.3	F25G6.3
ACR-17	WBGene00000056	F53E10.2a	F53E10.2a
ACR-17	WBGene00000056	F53E10.2b	F53E10.2b
ACR-18	WBGene00000057	F28F8.1	F28F8.1
ACR-19	WBGene00000058	C31H5.3a	C31H5.3a
ACR-19	WBGene00000058	C31H5.3b	C31H5.3b
ACR-20	WBGene00000059	R06A4.10a	R06A4.10a
ACR-20	WBGene00000059	R06A4.10b	R06A4.10b
ACR-20	WBGene00000059	R06A4.10c	R06A4.10c
ACR-21	WBGene00000060	F27B3.2	F27B3.2
LGC-11	WBGene00000061	F48E3.7	F48E3.7
ACR-23	WBGene00000062	F59B1.9	F59B1.9
ACT-1	WBGene00000063	T04C12.6.1	T04C12.6.1
ACT-1	WBGene00000063	T04C12.6.2	T04C12.6.2
ACT-1	WBGene00000063	T04C12.6.3	T04C12.6.3
ACT-1	WBGene00000063	T04C12.6.4	T04C12.6.4
ACT-2	WBGene00000064	T04C12.5.1	T04C12.5.1
ACT-2	WBGene00000064	T04C12.5.2	T04C12.5.2
ACT-3	WBGene00000065	T04C12.4.1	T04C12.4.1
ACT-3	WBGene00000065	T04C12.4.2	T04C12.4.2
ACT-3	WBGene00000065	T04C12.4.3	T04C12.4.3
ACT-4	WBGene00000066	M03F4.2a	M03F4.2a
ACT-4	WBGene00000066	M03F4.2b.1	M03F4.2b.1
ACT-4	WBGene00000066	M03F4.2b.2	M03F4.2b.2
ACT-4	WBGene00000066	M03F4.2b.3	M03F4.2b.3
ACT-4	WBGene00000066	M03F4.2b.4	M03F4.2b.4
ACT-4	WBGene00000066	M03F4.2b.5	M03F4.2b.5
ACT-4	WBGene00000066	M03F4.2b.6	M03F4.2b.6
ACT-4	WBGene00000066	M03F4.2c	M03F4.2c
ACT-5	WBGene00000067	T25C8.2.1	T25C8.2.1
ACT-5	WBGene00000067	T25C8.2.2	T25C8.2.2
ACY-1	WBGene00000068	F17C8.1	F17C8.1
ACY-2	WBGene00000069	C10F3.3	C10F3.3
ACY-3	WBGene00000070	C44F1.5	C44F1.5
ACY-4	WBGene00000071	T01C2.1	T01C2.1
ADD-1	WBGene00000072	F39C12.2a	F39C12.2a
