GENE NAME	Gene stable ID	Transcript stable ID	Protein stable ID	NCBI gene ID
YELLOW-E	FBgn0041711	FBtr0082757	FBpp0082225	41653
CG7296	FBgn0032283	FBtr0080129	FBpp0079718	34469
CG7296	FBgn0032283	FBtr0336850	FBpp0307809	34469
CG18765	FBgn0042110	FBtr0113346	FBpp0112258	59149
CG14356	FBgn0038207	FBtr0082908	FBpp0082369	41722
CG14561	FBgn0037149	FBtr0078480	FBpp0078133	40447
CG14561	FBgn0037149	FBtr0334111	FBpp0306231	40447
CCAP	FBgn0039007	FBtr0084333	FBpp0083726	42683
CCAP	FBgn0039007	FBtr0335007	FBpp0307015	42683
CG4681	FBgn0069913	FBtr0301624	FBpp0072248	37928
MT2	FBgn0028707	FBtr0342603	FBpp0309545	34632
MT2	FBgn0028707	FBtr0110911	FBpp0110211	34632
CG34258	FBgn0085287	FBtr0112452	FBpp0111367	5740493
LCP65AB1	FBgn0020644	FBtr0076994	FBpp0076702	48382
LCP65AB1	FBgn0020644	FBtr0076994	FBpp0076702	48381
TYF	FBgn0026083	FBtr0305185	FBpp0293715	31363
TYF	FBgn0026083	FBtr0305180	FBpp0293710	31363
TYF	FBgn0026083	FBtr0305179	FBpp0293709	31363
TYF	FBgn0026083	FBtr0305181	FBpp0293711	31363
TYF	FBgn0026083	FBtr0305184	FBpp0293714	31363
TYF	FBgn0026083	FBtr0070643	FBpp0070611	31363
TYF	FBgn0026083	FBtr0345713	FBpp0311757	31363
TYF	FBgn0026083	FBtr0301124	FBpp0290346	31363
TYF	FBgn0026083	FBtr0305182	FBpp0293712	31363
TYF	FBgn0026083	FBtr0305183	FBpp0293713	31363
TYF	FBgn0026083	FBtr0300931	FBpp0290153	31363
DTR	FBgn0023090	FBtr0081516	FBpp0081044	318856
LCP65AB2	FBgn0020643	FBtr0076992	FBpp0076701	48382
LCP65AB2	FBgn0020643	FBtr0076992	FBpp0076701	48381
CG10777	FBgn0029979	FBtr0071132	FBpp0071084	31707
CG10777	FBgn0029979	FBtr0344137	FBpp0310551	31707
EAST	FBgn0261954	FBtr0303047	FBpp0292166	46006
EAST	FBgn0261954	FBtr0307290	FBpp0298291	46006
EAST	FBgn0261954	FBtr0303046	FBpp0292165	46006
EAST	FBgn0261954	FBtr0307289	FBpp0298290	46006
EAST	FBgn0261954	FBtr0343522	FBpp0310126	46006
EAST	FBgn0261954	FBtr0070326	FBpp0070312	46006
CG34166	FBgn0085195	FBtr0301737	FBpp0290951	5740596
CG34166	FBgn0085195	FBtr0112357	FBpp0111272	5740596
CG34166	FBgn0085195	FBtr0345461	FBpp0311579	5740596
CG34166	FBgn0085195	FBtr0343708	FBpp0310288	5740596
PGRP-SB2	FBgn0043577	FBtr0075320	FBpp0075079	39869
PGRP-SB2	FBgn0043577	FBtr0333627	FBpp0305802	39869
CG4577	FBgn0031306	FBtr0077957	FBpp0077622	33291
CG4577	FBgn0031306	FBtr0332271	FBpp0304560	33291
MNT	FBgn0023215	FBtr0070579	FBpp0070554	31331
MNT	FBgn0023215	FBtr0301823	FBpp0291037	31331
MNT	FBgn0023215	FBtr0301821	FBpp0291035	31331
MNT	FBgn0023215	FBtr0343578	FBpp0310175	31331
MNT	FBgn0023215	FBtr0307278	FBpp0298279	31331
MNT	FBgn0023215	FBtr0307277	FBpp0298278	31331
MNT	FBgn0023215	FBtr0070578	FBpp0070553	31331
MNT	FBgn0023215	FBtr0301824	FBpp0291038	31331
MNT	FBgn0023215	FBtr0301825	FBpp0291039	31331
MNT	FBgn0023215	FBtr0301822	FBpp0291036	31331
CG42307	FBgn0259203	FBtr0299693	FBpp0288971	7354423
CG42307	FBgn0259203	FBtr0344452	FBpp0310824	7354423
CG42307	FBgn0259203	FBtr0299691	FBpp0288969	7354423
CG42307	FBgn0259203	FBtr0299692	FBpp0288970	7354423
CG31683	FBgn0051683	FBtr0081365	FBpp0080897	261623
CG31683	FBgn0051683	FBtr0330662	FBpp0303512	261623
TAF2	FBgn0011836	FBtr0332688	FBpp0304934	39164
TAF2	FBgn0011836	FBtr0076361	FBpp0076090	39164
