GENE NAME	Gene stable ID	Transcript stable ID	Protein stable ID
YELLOW-E	FBgn0041711	FBtr0082757	FBpp0082225
CG7296	FBgn0032283	FBtr0080129	FBpp0079718
CG7296	FBgn0032283	FBtr0336850	FBpp0307809
CG18765	FBgn0042110	FBtr0113346	FBpp0112258
CG14356	FBgn0038207	FBtr0082908	FBpp0082369
CG14561	FBgn0037149	FBtr0078480	FBpp0078133
CG14561	FBgn0037149	FBtr0334111	FBpp0306231
CCAP	FBgn0039007	FBtr0084333	FBpp0083726
CCAP	FBgn0039007	FBtr0335007	FBpp0307015
CG4681	FBgn0069913	FBtr0301624	FBpp0072248
MT2	FBgn0028707	FBtr0342603	FBpp0309545
MT2	FBgn0028707	FBtr0110911	FBpp0110211
CG34258	FBgn0085287	FBtr0112452	FBpp0111367
LCP65AB1	FBgn0020644	FBtr0076994	FBpp0076702
TYF	FBgn0026083	FBtr0305185	FBpp0293715
TYF	FBgn0026083	FBtr0305180	FBpp0293710
TYF	FBgn0026083	FBtr0305179	FBpp0293709
TYF	FBgn0026083	FBtr0305181	FBpp0293711
TYF	FBgn0026083	FBtr0305184	FBpp0293714
TYF	FBgn0026083	FBtr0070643	FBpp0070611
TYF	FBgn0026083	FBtr0345713	FBpp0311757
TYF	FBgn0026083	FBtr0301124	FBpp0290346
TYF	FBgn0026083	FBtr0305182	FBpp0293712
TYF	FBgn0026083	FBtr0305183	FBpp0293713
TYF	FBgn0026083	FBtr0300931	FBpp0290153
DTR	FBgn0023090	FBtr0081516	FBpp0081044
LCP65AB2	FBgn0020643	FBtr0076992	FBpp0076701
CG10777	FBgn0029979	FBtr0071132	FBpp0071084
CG10777	FBgn0029979	FBtr0344137	FBpp0310551
EAST	FBgn0261954	FBtr0303047	FBpp0292166
EAST	FBgn0261954	FBtr0307290	FBpp0298291
EAST	FBgn0261954	FBtr0303046	FBpp0292165
EAST	FBgn0261954	FBtr0307289	FBpp0298290
EAST	FBgn0261954	FBtr0343522	FBpp0310126
EAST	FBgn0261954	FBtr0070326	FBpp0070312
CG34166	FBgn0085195	FBtr0301737	FBpp0290951
CG34166	FBgn0085195	FBtr0112357	FBpp0111272
CG34166	FBgn0085195	FBtr0345461	FBpp0311579
CG34166	FBgn0085195	FBtr0343708	FBpp0310288
PGRP-SB2	FBgn0043577	FBtr0075320	FBpp0075079
PGRP-SB2	FBgn0043577	FBtr0333627	FBpp0305802
CG4577	FBgn0031306	FBtr0077957	FBpp0077622
CG4577	FBgn0031306	FBtr0332271	FBpp0304560
MNT	FBgn0023215	FBtr0070579	FBpp0070554
MNT	FBgn0023215	FBtr0301823	FBpp0291037
MNT	FBgn0023215	FBtr0301821	FBpp0291035
MNT	FBgn0023215	FBtr0343578	FBpp0310175
MNT	FBgn0023215	FBtr0307278	FBpp0298279
MNT	FBgn0023215	FBtr0307277	FBpp0298278
MNT	FBgn0023215	FBtr0070578	FBpp0070553
MNT	FBgn0023215	FBtr0301824	FBpp0291038
MNT	FBgn0023215	FBtr0301825	FBpp0291039
MNT	FBgn0023215	FBtr0301822	FBpp0291036
CG42307	FBgn0259203	FBtr0299693	FBpp0288971
CG42307	FBgn0259203	FBtr0344452	FBpp0310824
CG42307	FBgn0259203	FBtr0299691	FBpp0288969
CG42307	FBgn0259203	FBtr0299692	FBpp0288970
CG31683	FBgn0051683	FBtr0081365	FBpp0080897
CG31683	FBgn0051683	FBtr0330662	FBpp0303512
TAF2	FBgn0011836	FBtr0332688	FBpp0304934
TAF2	FBgn0011836	FBtr0076361	FBpp0076090
HIS2B:CG33884	FBgn0053884	FBtr0091888	FBpp0091129
LM408	FBgn0027611	FBtr0080031	FBpp0079621
LM408	FBgn0027611	FBtr0080030	FBpp0079620
CG4854	FBgn0038766	FBtr0083830	FBpp0083239
CG3511	FBgn0035027	FBtr0072309	FBpp0072216
CG3511	FBgn0035027	FBtr0343484	FBpp0310092
CAPS	FBgn0053653	FBtr0091630	FBpp0088329
CAPS	FBgn0053653	FBtr0307333	FBpp0298334
CAPS	FBgn0053653	FBtr0091631	FBpp0088330
CAPS	FBgn0053653	FBtr0333702	FBpp0305855
CAPS	FBgn0053653	FBtr0307334	FBpp0298335
CG8060	FBgn0034113	FBtr0087178	FBpp0086322
LAMBDATRY	FBgn0043470	FBtr0088121	FBpp0087222
DESAT1	FBgn0086687	FBtr0082627	FBpp0082096
DESAT1	FBgn0086687	FBtr0082628	FBpp0082097
DESAT1	FBgn0086687	FBtr0082630	FBpp0082099
DESAT1	FBgn0086687	FBtr0082629	FBpp0082098
DESAT1	FBgn0086687	FBtr0082626	FBpp0082095
CG11109	FBgn0037200	FBtr0078552	FBpp0078203
CG11109	FBgn0037200	FBtr0078553	FBpp0078204
CG31688	FBgn0263355	FBtr0330203	FBpp0303236
CG31688	FBgn0263355	FBtr0273378	FBpp0271886
CG31688	FBgn0263355	FBtr0330204	FBpp0303237
CG31688	FBgn0263355	FBtr0308895	FBpp0301022
CG31688	FBgn0263355	FBtr0330661	FBpp0303511
CG42327	FBgn0259227	FBtr0299789	FBpp0289067
COLT	FBgn0019830	FBtr0077731	FBpp0077414
COLT	FBgn0019830	FBtr0077734	FBpp0089377
CG6220	FBgn0033865	FBtr0087650	FBpp0086776
INR-A	FBgn0264962	FBtr0302109	FBpp0291319
INR-A	FBgn0264962	FBtr0339986	FBpp0309007
INR-A	FBgn0264962	FBtr0339985	FBpp0309006
INR-A	FBgn0264962	FBtr0345528	FBpp0311632
INR-A	FBgn0264962	FBtr0302294	FBpp0291500
INR-A	FBgn0264962	FBtr0302560	FBpp0291716
INR-A	FBgn0264962	FBtr0301513	FBpp0290728
ELP3	FBgn0031604	FBtr0077439	FBpp0077129
CG14103	FBgn0036908	FBtr0074927	FBpp0074696
CG14103	FBgn0036908	FBtr0333878	FBpp0306010
MTM	FBgn0025742	FBtr0345290	FBpp0311457
MTM	FBgn0025742	FBtr0079223	FBpp0078854
SICILY	FBgn0030352	FBtr0346165	FBpp0311993
SICILY	FBgn0030352	FBtr0073572	FBpp0073416
CG11077	FBgn0039930	FBtr0089222	FBpp0088286
CG32638	FBgn0052638	FBtr0300453	FBpp0289681
RTET	FBgn0028468	FBtr0084009	FBpp0083412
CG3556	FBgn0029708	FBtr0308916	FBpp0301042
CG3556	FBgn0029708	FBtr0070674	FBpp0070642
CG3808	FBgn0036838	FBtr0075041	FBpp0074808
RPL32	FBgn0002626	FBtr0085592	FBpp0084958
RPL32	FBgn0002626	FBtr0085594	FBpp0084960
RPL32	FBgn0002626	FBtr0085593	FBpp0084959
RPL32	FBgn0002626	FBtr0114555	FBpp0113047
R	FBgn0003189	FBtr0340156	FBpp0309142
R	FBgn0003189	FBtr0340155	FBpp0309141
R	FBgn0003189	FBtr0089734	FBpp0088675
CG32712	FBgn0052712	FBtr0300386	FBpp0289615
CG1227	FBgn0037491	FBtr0339736	FBpp0308786
CG1227	FBgn0037491	FBtr0081598	FBpp0081116
CG7824	FBgn0039711	FBtr0303035	FBpp0292154
CG7824	FBgn0039711	FBtr0089927	FBpp0088866
CG2608	FBgn0032870	FBtr0081384	FBpp0080915
CG42762	FBgn0261830	FBtr0303390	FBpp0292452
X11L	FBgn0026313	FBtr0333757	FBpp0305899
X11L	FBgn0026313	FBtr0301696	FBpp0290910
X11L	FBgn0026313	FBtr0340621	FBpp0309485
X11L	FBgn0026313	FBtr0074451	FBpp0074225
X11L	FBgn0026313	FBtr0340620	FBpp0309484
CG17260	FBgn0031498	FBtr0077653	FBpp0077338
CG17260	FBgn0031498	FBtr0344088	FBpp0310513
CG17260	FBgn0031498	FBtr0335478	FBpp0307452
CG42496	FBgn0260222	FBtr0300625	FBpp0289852
CG42496	FBgn0260222	FBtr0342958	FBpp0309729
CAPER	FBgn0031883	FBtr0344710	FBpp0311043
CAPER	FBgn0031883	FBtr0344708	FBpp0311041
CAPER	FBgn0031883	FBtr0089640	FBpp0088583
CAPER	FBgn0031883	FBtr0344711	FBpp0311044
CAPER	FBgn0031883	FBtr0344712	FBpp0311045
CAPER	FBgn0031883	FBtr0344709	FBpp0311042
CAPER	FBgn0031883	FBtr0089636	FBpp0088579
CG31140	FBgn0051140	FBtr0330371	FBpp0303397
CG31140	FBgn0051140	FBtr0084497	FBpp0083885
CG31140	FBgn0051140	FBtr0084498	FBpp0083886
CG31140	FBgn0051140	FBtr0300963	FBpp0290185
CG31140	FBgn0051140	FBtr0305041	FBpp0293578
CG31140	FBgn0051140	FBtr0113392	FBpp0112304
CG31140	FBgn0051140	FBtr0113393	FBpp0112305
CG5895	FBgn0036560	FBtr0333614	FBpp0305791
CG5895	FBgn0036560	FBtr0075437	FBpp0075195
VHAAC39-2	FBgn0039058	FBtr0084401	FBpp0083793
GLO	FBgn0259139	FBtr0089919	FBpp0088858
GLO	FBgn0259139	FBtr0089918	FBpp0088857
GLO	FBgn0259139	FBtr0089917	FBpp0088856
PPK9	FBgn0085398	FBtr0344888	FBpp0311200
PPK9	FBgn0085398	FBtr0112594	FBpp0111506
LOQS	FBgn0032515	FBtr0342632	FBpp0309561
LOQS	FBgn0032515	FBtr0100220	FBpp0099590
LOQS	FBgn0032515	FBtr0342633	FBpp0309562
LOQS	FBgn0032515	FBtr0303269	FBpp0292361
LOQS	FBgn0032515	FBtr0080497	FBpp0080075
LOQS	FBgn0032515	FBtr0080498	FBpp0080076
CG4658	FBgn0032170	FBtr0079887	FBpp0079483
CG4658	FBgn0032170	FBtr0079885	FBpp0079481
CG4658	FBgn0032170	FBtr0343738	FBpp0310304
CG4658	FBgn0032170	FBtr0343739	FBpp0310305
CG4658	FBgn0032170	FBtr0079886	FBpp0079482
SC2	FBgn0035471	FBtr0073159	FBpp0073017
CG10462	FBgn0032815	FBtr0331244	FBpp0303686
CG10462	FBgn0032815	FBtr0331243	FBpp0303685
CG10462	FBgn0032815	FBtr0305952	FBpp0297094
CG10462	FBgn0032815	FBtr0100351	FBpp0099756
CG10462	FBgn0032815	FBtr0081325	FBpp0080857
CG10462	FBgn0032815	FBtr0100352	FBpp0099757
NP	FBgn0265011	FBtr0307883	FBpp0300317
NP	FBgn0265011	FBtr0112560	FBpp0111472
OAF	FBgn0011818	FBtr0077778	FBpp0077457
OAF	FBgn0011818	FBtr0077779	FBpp0077458
OAF	FBgn0011818	FBtr0077777	FBpp0077456
OAF	FBgn0011818	FBtr0077780	FBpp0077459
GM130	FBgn0034697	FBtr0071790	FBpp0071703
CG43075	FBgn0262485	FBtr0304838	FBpp0293378
SLN	FBgn0033657	FBtr0088032	FBpp0087139
CG8607	FBgn0035760	FBtr0076837	FBpp0076548
CG6404	FBgn0027615	FBtr0076272	FBpp0076001
CG6404	FBgn0027615	FBtr0076271	FBpp0076000
IP3K2	FBgn0266375	FBtr0346134	FBpp0311962
IP3K2	FBgn0266375	FBtr0346133	FBpp0311961
IP3K2	FBgn0266375	FBtr0344171	FBpp0310585
IP3K2	FBgn0266375	FBtr0344170	FBpp0310584
IP3K2	FBgn0266375	FBtr0344169	FBpp0310583
IP3K2	FBgn0266375	FBtr0344168	FBpp0310582
MUC14A	FBgn0052580	FBtr0074205	FBpp0073985
CG9305	FBgn0032512	FBtr0342639	FBpp0309566
CG9305	FBgn0032512	FBtr0080471	FBpp0080050
CG33768	FBgn0053768	FBtr0091769	FBpp0091030
CG44341	FBgn0265429	FBtr0339745	FBpp0308793
CG14258	FBgn0039482	FBtr0085103	FBpp0084473
LBE	FBgn0011278	FBtr0084091	FBpp0083490
AXUD1	FBgn0261647	FBtr0077763	FBpp0077443
AXUD1	FBgn0261647	FBtr0330666	FBpp0303516
AXUD1	FBgn0261647	FBtr0077762	FBpp0077442
AXUD1	FBgn0261647	FBtr0330665	FBpp0303515
TRIM9	FBgn0051721	FBtr0304114	FBpp0293057
TRIM9	FBgn0051721	FBtr0080096	FBpp0079685
BLIMP-1	FBgn0035625	FBtr0345593	FBpp0311662
BLIMP-1	FBgn0035625	FBtr0077089	FBpp0076797
BLIMP-1	FBgn0035625	FBtr0331808	FBpp0304193
BLIMP-1	FBgn0035625	FBtr0331809	FBpp0304194
BLIMP-1	FBgn0035625	FBtr0331807	FBpp0304192
BLIMP-1	FBgn0035625	FBtr0331806	FBpp0304191
CG10139	FBgn0033951	FBtr0339980	FBpp0309001
CG10139	FBgn0033951	FBtr0087433	FBpp0086563
TER94	FBgn0261014	FBtr0112906	FBpp0111819
TER94	FBgn0261014	FBtr0088391	FBpp0087479
TER94	FBgn0261014	FBtr0112905	FBpp0111818
TER94	FBgn0261014	FBtr0343852	FBpp0310395
PGAP5	FBgn0031997	FBtr0079587	FBpp0079208
PGAP5	FBgn0031997	FBtr0079588	FBpp0079209
PGAP5	FBgn0031997	FBtr0335190	FBpp0307180
BEAT-IIA	FBgn0038498	FBtr0083453	FBpp0082894
BEAT-IIA	FBgn0038498	FBtr0339170	FBpp0308313
CG43799	FBgn0264343	FBtr0332003	FBpp0304325
ARS2	FBgn0033062	FBtr0086018	FBpp0085354
ARS2	FBgn0033062	FBtr0086021	FBpp0085357
ARS2	FBgn0033062	FBtr0310666	FBpp0302786
ARS2	FBgn0033062	FBtr0310665	FBpp0302785
ARS2	FBgn0033062	FBtr0310667	FBpp0302787
ARS2	FBgn0033062	FBtr0086020	FBpp0085356
NSR	FBgn0034740	FBtr0071861	FBpp0071772
