GENE NAME	Gene stable ID	Transcript stable ID	Protein stable ID	NCBI gene ID
CUP1-2	YHR055C	YHR055C	YHR055C	856452
CUP1-2	YHR055C	YHR055C	YHR055C	856450
SGV1	YPR161C	YPR161C	YPR161C	856290
RTC1	YOL138C	YOL138C	YOL138C	853982
SXM1	YDR395W	YDR395W	YDR395W	852004
SYF2	YGR129W	YGR129W	YGR129W	853030
RHO1	YPR165W	YPR165W	YPR165W	856294
YPR098C	YPR098C	YPR098C	YPR098C	856213
HST2	YPL015C	YPL015C	YPL015C	856092
APA1	YCL050C	YCL050C	YCL050C	850307
MRPL24	YMR193W	YMR193W	YMR193W	855231
YLR031W	YLR031W	YLR031W	YLR031W	850718
YIL014C-A	YIL014C-A	YIL014C-A	YIL014C-A	854799
YGR053C	YGR053C	YGR053C	YGR053C	852944
YCR101C	YCR101C	YCR101C	YCR101C	850465
SBH1	YER087C-B	YER087C-B	YER087C-B	856821
FSH3	YOR280C	YOR280C	YOR280C	854454
ASK10	YGR097W	YGR097W	YGR097W	852989
PHO12	YHR215W	YHR215W	YHR215W	856625
PAN3	YKL025C	YKL025C	YKL025C	853843
YKR011C	YKR011C	YKR011C	YKR011C	853881
YEA4	YEL004W	YEL004W	YEL004W	856714
ACO2	YJL200C	YJL200C	YJL200C	853230
ISA1	YLL027W	YLL027W	YLL027W	850632
STU2	YLR045C	YLR045C	YLR045C	850734
PAL1	YDR348C	YDR348C	YDR348C	851949
RTT10	YPL183C	YPL183C	YPL183C	855919
CUL3	YGR003W	YGR003W	YGR003W	852886
YBL095W	YBL095W	YBL095W	YBL095W	852181
YBP2	YGL060W	YGL060W	YGL060W	852820
YLL007C	YLL007C	YLL007C	YLL007C	850653
GCN4	YEL009C	YEL009C	YEL009C	856709
EDC3	YEL015W	YEL015W	YEL015W	856700
WHI5	YOR083W	YOR083W	YOR083W	854249
DUT1	YBR252W	YBR252W	YBR252W	852554
PEX3	YDR329C	YDR329C	YDR329C	851929
MRPL11	YDL202W	YDL202W	YDL202W	851325
CRG1	YHR209W	YHR209W	YHR209W	856616
HAA1	YPR008W	YPR008W	YPR008W	856117
PTP3	YER075C	YER075C	YER075C	856807
ACK1	YDL203C	YDL203C	YDL203C	851324
REG2	YBR050C	YBR050C	YBR050C	852340
VTI1	YMR197C	YMR197C	YMR197C	855237
YDR261W-A	YDR261W-A	YDR261W-A	YDR261W-A	851850
MOH1	YBL049W	YBL049W	YBL049W	852231
GIP2	YER054C	YER054C	YER054C	856781
HNT2	YDR305C	YDR305C	YDR305C	851899
PSY2	YNL201C	YNL201C	YNL201C	855520
YCR061W	YCR061W	YCR061W	YCR061W	850425
OYE3	YPL171C	YPL171C	YPL171C	855932
COX6	YHR051W	YHR051W	YHR051W	856448
NUP84	YDL116W	YDL116W	YDL116W	851441
CTR1	YPR124W	YPR124W	YPR124W	856241
PET130	YJL023C	YJL023C	YJL023C	853432
PMR1	YGL167C	YGL167C	YGL167C	852709
CDC36	YDL165W	YDL165W	YDL165W	851389
YLR154C-H	YLR154C-H	YLR154C-H	YLR154C-H	1466415
YLR154C-H	YLR154C-H	YLR154C-H	YLR154C-H	1466414
YLR154C-H	YLR154C-H	YLR154C-H	YLR154C-H	1466411
YLR154C-H	YLR154C-H	YLR154C-H	YLR154C-H	1466410
YPL119C-A	YPL119C-A	YPL119C-A	YPL119C-A	1466520
SSL2	YIL143C	YIL143C	YIL143C	854663
PFK1	YGR240C	YGR240C	YGR240C	853155
ARF3	YOR094W	YOR094W	YOR094W	854261
TAF10	YDR167W	YDR167W	YDR167W	851745
YBR063C	YBR063C	YBR063C	YBR063C	852356
HOM3	YER052C	YER052C	YER052C	856778
PBP1	YGR178C	YGR178C	YGR178C	853089
MRP51	YPL118W	YPL118W	YPL118W	855985
RPO26	YPR187W	YPR187W	YPR187W	856317
DLS1	YJL065C	YJL065C	YJL065C	853381
PPM2	YOL141W	YOL141W	YOL141W	854024
SUA7	YPR086W	YPR086W	YPR086W	856201
MRPL36	YBR122C	YBR122C	YBR122C	852419
EFM2	YBR271W	YBR271W	YBR271W	852574
PAF1	YBR279W	YBR279W	YBR279W	852582
YMR221C	YMR221C	YMR221C	YMR221C	855261
IMA4	YJL221C	YJL221C	YJL221C	854635
IMA4	YJL221C	YJL221C	YJL221C	853235
COM2	YER130C	YER130C	YER130C	856867
CNS1	YBR155W	YBR155W	YBR155W	852452
ESC2	YDR363W	YDR363W	YDR363W	851965
YGR266W	YGR266W	YGR266W	YGR266W	853182
ECM7	YLR443W	YLR443W	YLR443W	851164
PXA1	YPL147W	YPL147W	YPL147W	855956
FUN19	YAL034C	YAL034C	YAL034C	851199
TIP1	YBR067C	YBR067C	YBR067C	852359
OCA4	YCR095C	YCR095C	YCR095C	850457
DCS1	YLR270W	YLR270W	YLR270W	850974
YPR084W	YPR084W	YPR084W	YPR084W	856199
YBR184W	YBR184W	YBR184W	YBR184W	852482
FOL3	YMR113W	YMR113W	YMR113W	855140
YGR035C	YGR035C	YGR035C	YGR035C	852923
FMP45	YDL222C	YDL222C	YDL222C	851304
STP22	YCL008C	YCL008C	YCL008C	850349
SIT1	YEL065W	YEL065W	YEL065W	856644
DDI3	YNL335W	YNL335W	YNL335W	855381
DDI3	YNL335W	YNL335W	YNL335W	850483
LCB1	YMR296C	YMR296C	YMR296C	855342
HEM1	YDR232W	YDR232W	YDR232W	851818
COX23	YHR116W	YHR116W	YHR116W	856516
PIB1	YDR313C	YDR313C	YDR313C	851908
YFR018C	YFR018C	YFR018C	YFR018C	850573
CAP1	YKL007W	YKL007W	YKL007W	853862
NEO1	YIL048W	YIL048W	YIL048W	854763
NOP6	YDL213C	YDL213C	YDL213C	851313
SSN2	YDR443C	YDR443C	YDR443C	852053
PUS4	YNL292W	YNL292W	YNL292W	855424
YKL183C-A	YKL183C-A	YKL183C-A	YKL183C-A	1500485
FRT1	YOR324C	YOR324C	YOR324C	854503
YNL134C	YNL134C	YNL134C	YNL134C	855588
YKL100C	YKL100C	YKL100C	YKL100C	853761
YOR192C-B	YOR192C-B	YOR192C-B	YOR192C-B	854365
ECM23	YPL021W	YPL021W	YPL021W	856086
ATG32	YIL146C	YIL146C	YIL146C	854660
MGS1	YNL218W	YNL218W	YNL218W	855503
QDR2	YIL121W	YIL121W	YIL121W	854685
NRP1	YDL167C	YDL167C	YDL167C	851387
THI6	YPL214C	YPL214C	YPL214C	855887
MCP1	YOR228C	YOR228C	YOR228C	854403
BIT2	YBR270C	YBR270C	YBR270C	852573
PET54	YGR222W	YGR222W	YGR222W	853137
CAN1	YEL063C	YEL063C	YEL063C	856646
YML020W	YML020W	YML020W	YML020W	854988
MEP1	YGR121C	YGR121C	YGR121C	853019
PCS60	YBR222C	YBR222C	YBR222C	852523
PMT1	YDL095W	YDL095W	YDL095W	851462
MCD1	YDL003W	YDL003W	YDL003W	851561
PRO2	YOR323C	YOR323C	YOR323C	854501
SSO2	YMR183C	YMR183C	YMR183C	855221
MOD5	YOR274W	YOR274W	YOR274W	854448
LSM5	YER146W	YER146W	YER146W	856889
HMG1	YML075C	YML075C	YML075C	854900
TIM50	YPL063W	YPL063W	YPL063W	856042
TOM1	YDR457W	YDR457W	YDR457W	852068
PIG1	YLR273C	YLR273C	YLR273C	850979
SAS4	YDR181C	YDR181C	YDR181C	851762
SRM1	YGL097W	YGL097W	YGL097W	852782
PEX34	YCL056C	YCL056C	YCL056C	850302
TAX4	YJL083W	YJL083W	YJL083W	853362
YMR242W-A	YMR242W-A	YMR242W-A	YMR242W-A	1466505
BUB3	YOR026W	YOR026W	YOR026W	854191
MKK2	YPL140C	YPL140C	YPL140C	855963
ACC1	YNR016C	YNR016C	YNR016C	855750
YCK3	YER123W	YER123W	YER123W	856860
MUP1	YGR055W	YGR055W	YGR055W	852946
DYN1	YKR054C	YKR054C	YKR054C	853928
YMR315W	YMR315W	YMR315W	YMR315W	855363
LTE1	YAL024C	YAL024C	YAL024C	851209
FAT3	YKL187C	YKL187C	YKL187C	853648
NKP1	YDR383C	YDR383C	YDR383C	851991
OAR1	YKL055C	YKL055C	YKL055C	853810
ARO3	YDR035W	YDR035W	YDR035W	851605
PEX18	YHR160C	YHR160C	YHR160C	856565
TFC4	YGR047C	YGR047C	YGR047C	852938
VBA4	YDR119W	YDR119W	YDR119W	851697
DUR1,2	YBR208C	YBR208C	YBR208C	852507
UBP3	YER151C	YER151C	YER151C	856895
XYL2	YLR070C	YLR070C	YLR070C	850759
MCM4	YPR019W	YPR019W	YPR019W	856130
CET1	YPL228W	YPL228W	YPL228W	855873
RPC82	YPR190C	YPR190C	YPR190C	856320
BUD9	YGR041W	YGR041W	YGR041W	852932
TRR1	YDR353W	YDR353W	YDR353W	851955
YHR097C	YHR097C	YHR097C	YHR097C	856497
SGF11	YPL047W	YPL047W	YPL047W	856060
YPL014W	YPL014W	YPL014W	YPL014W	856093
ECT1	YGR007W	YGR007W	YGR007W	852890
ATR1	YML116W	YML116W	YML116W	854924
BSC6	YOL137W	YOL137W	YOL137W	853983
CDC43	YGL155W	YGL155W	YGL155W	852722
CEM1	YER061C	YER061C	YER061C	856790
YRA2	YKL214C	YKL214C	YKL214C	853666
DBP1	YPL119C	YPL119C	YPL119C	855984
HNT1	YDL125C	YDL125C	YDL125C	851432
KOG1	YHR186C	YHR186C	YHR186C	856593
CCE1	YKL011C	YKL011C	YKL011C	853858
KNS1	YLL019C	YLL019C	YLL019C	850641
SIP3	YNL257C	YNL257C	YNL257C	855464
BUD4	YJR092W	YJR092W	YJR092W	853554
YBL059W	YBL059W	YBL059W	YBL059W	852221
CTP1	YBR291C	YBR291C	YBR291C	852594
COA2	YPL189C-A	YPL189C-A	YPL189C-A	1466518
YDR262W	YDR262W	YDR262W	YDR262W	851855
YFL012W	YFL012W	YFL012W	YFL012W	850535
BOS1	YLR078C	YLR078C	YLR078C	850767
IPT1	YDR072C	YDR072C	YDR072C	851644
CSN9	YDR179C	YDR179C	YDR179C	851759
MRPL9	YGR220C	YGR220C	YGR220C	853135
GPP1	YIL053W	YIL053W	YIL053W	854758
HLJ1	YMR161W	YMR161W	YMR161W	855196
TIR1	YER011W	YER011W	YER011W	856729
HSP78	YDR258C	YDR258C	YDR258C	851845
SUT1	YGL162W	YGL162W	YGL162W	852714
SLA2	YNL243W	YNL243W	YNL243W	855478
ARC40	YBR234C	YBR234C	YBR234C	852536
SLM2	YNL047C	YNL047C	YNL047C	855680
RGT1	YKL038W	YKL038W	YKL038W	853828
DAK2	YFL053W	YFL053W	YFL053W	850491
UTP30	YKR060W	YKR060W	YKR060W	853934
ARR2	YPR200C	YPR200C	YPR200C	856330
CTR3	YLR411W	YLR411W	YLR411W	851129
EST2	YLR318W	YLR318W	YLR318W	851028
PEX28	YHR150W	YHR150W	YHR150W	856555
MDM34	YGL219C	YGL219C	YGL219C	852654
CDC4	YFL009W	YFL009W	YFL009W	850539
GIP1	YBR045C	YBR045C	YBR045C	852334
SUB1	YMR039C	YMR039C	YMR039C	855055
MIA40	YKL195W	YKL195W	YKL195W	853639
YPR127W	YPR127W	YPR127W	YPR127W	856245
POS5	YPL188W	YPL188W	YPL188W	855913
RPL9A	YGL147C	YGL147C	YGL147C	852730
RAD9	YDR217C	YDR217C	YDR217C	851803
TAF11	YML015C	YML015C	YML015C	854993
VPS70	YJR126C	YJR126C	YJR126C	853590
ATH1	YPR026W	YPR026W	YPR026W	856137
OSH3	YHR073W	YHR073W	YHR073W	856472
RCE1	YMR274C	YMR274C	YMR274C	855317
PLB1	YMR008C	YMR008C	YMR008C	855020
HO	YDL227C	YDL227C	YDL227C	851371
MCA1	YOR197W	YOR197W	YOR197W	854372
YDR034C-C	YDR034C-C	YDR034C-C	YDR034C-C	851600
SWS2	YNL081C	YNL081C	YNL081C	855643
CWP2	YKL096W-A	YKL096W-A	YKL096W-A	853765
KRE28	YDR532C	YDR532C	YDR532C	852145
VMS1	YDR049W	YDR049W	YDR049W	851618
MRPL38	YKL170W	YKL170W	YKL170W	853684
YJL043W	YJL043W	YJL043W	YJL043W	853407
ALG13	YGL047W	YGL047W	YGL047W	852835
SSK1	YLR006C	YLR006C	YLR006C	850692
IRE1	YHR079C	YHR079C	YHR079C	856478
BSP1	YPR171W	YPR171W	YPR171W	856301
RPS1B	YML063W	YML063W	YML063W	854939
TFS1	YLR178C	YLR178C	YLR178C	850875
OCA5	YHL029C	YHL029C	YHL029C	856356
DPB11	YJL090C	YJL090C	YJL090C	853355
FLR1	YBR008C	YBR008C	YBR008C	852293
VPS74	YDR372C	YDR372C	YDR372C	851978
SER1	YOR184W	YOR184W	YOR184W	854356
YHR218W	YHR218W	YHR218W	YHR218W	856628
TOM40	YMR203W	YMR203W	YMR203W	855243
PRI1	YIR008C	YIR008C	YIR008C	854825
NCL1	YBL024W	YBL024W	YBL024W	852257
HIM1	YDR317W	YDR317W	YDR317W	851915
TRL1	YJL087C	YJL087C	YJL087C	853358
LOH1	YJL038C	YJL038C	YJL038C	853413
NRG1	YDR043C	YDR043C	YDR043C	851613
DAP2	YHR028C	YHR028C	YHR028C	856423
RPA43	YOR340C	YOR340C	YOR340C	854518
MGR1	YCL044C	YCL044C	YCL044C	850313
RMD6	YEL072W	YEL072W	YEL072W	856637
ROG3	YFR022W	YFR022W	YFR022W	850578
DSN1	YIR010W	YIR010W	YIR010W	854827
HIR1	YBL008W	YBL008W	YBL008W	852275
YMR178W	YMR178W	YMR178W	YMR178W	855216
COQ10	YOL008W	YOL008W	YOL008W	854154
YSC83	YHR017W	YHR017W	YHR017W	856410
SIR1	YKR101W	YKR101W	YKR101W	853976
SNO1	YMR095C	YMR095C	YMR095C	855120
AIM18	YHR198C	YHR198C	YHR198C	856605
SKI7	YOR076C	YOR076C	YOR076C	854243
YGL015C	YGL015C	YGL015C	YGL015C	852869
ALG9	YNL219C	YNL219C	YNL219C	855502
CLB4	YLR210W	YLR210W	YLR210W	850907
CAP2	YIL034C	YIL034C	YIL034C	854777
PEP3	YLR148W	YLR148W	YLR148W	850840
YOR342C	YOR342C	YOR342C	YOR342C	854520
NBA1	YOL070C	YOL070C	YOL070C	854084
DHH1	YDL160C	YDL160C	YDL160C	851394
CBR1	YIL043C	YIL043C	YIL043C	854768
PHB2	YGR231C	YGR231C	YGR231C	853146
YPR202W	YPR202W	YPR202W	YPR202W	856332
RPL26B	YGR034W	YGR034W	YGR034W	852922
RSN1	YMR266W	YMR266W	YMR266W	855308
HDA1	YNL021W	YNL021W	YNL021W	855710
YPL107W	YPL107W	YPL107W	YPL107W	855997
CTT1	YGR088W	YGR088W	YGR088W	852979
BUD31	YCR063W	YCR063W	YCR063W	850427
STP4	YDL048C	YDL048C	YDL048C	851512
PRE8	YML092C	YML092C	YML092C	854882
YPR097W	YPR097W	YPR097W	YPR097W	856212
YBR201C-A	YBR201C-A	YBR201C-A	YBR201C-A	3799967
