GENE NAME	Gene stable ID	Transcript stable ID	Protein stable ID
CUP1-2	YHR055C	YHR055C	YHR055C
SGV1	YPR161C	YPR161C	YPR161C
RTC1	YOL138C	YOL138C	YOL138C
SXM1	YDR395W	YDR395W	YDR395W
SYF2	YGR129W	YGR129W	YGR129W
RHO1	YPR165W	YPR165W	YPR165W
YPR098C	YPR098C	YPR098C	YPR098C
HST2	YPL015C	YPL015C	YPL015C
APA1	YCL050C	YCL050C	YCL050C
YAL069W	YAL069W	YAL069W	YAL069W
MRPL24	YMR193W	YMR193W	YMR193W
YLR031W	YLR031W	YLR031W	YLR031W
YIL014C-A	YIL014C-A	YIL014C-A	YIL014C-A
YGR053C	YGR053C	YGR053C	YGR053C
YCR101C	YCR101C	YCR101C	YCR101C
SBH1	YER087C-B	YER087C-B	YER087C-B
FSH3	YOR280C	YOR280C	YOR280C
ASK10	YGR097W	YGR097W	YGR097W
PHO12	YHR215W	YHR215W	YHR215W
PAN3	YKL025C	YKL025C	YKL025C
YKR011C	YKR011C	YKR011C	YKR011C
YEA4	YEL004W	YEL004W	YEL004W
ACO2	YJL200C	YJL200C	YJL200C
ISA1	YLL027W	YLL027W	YLL027W
YOR024W	YOR024W	YOR024W	YOR024W
STU2	YLR045C	YLR045C	YLR045C
PAL1	YDR348C	YDR348C	YDR348C
RTT10	YPL183C	YPL183C	YPL183C
CUL3	YGR003W	YGR003W	YGR003W
YEL008C-A	YEL008C-A	YEL008C-A	YEL008C-A
YBL095W	YBL095W	YBL095W	YBL095W
YBP2	YGL060W	YGL060W	YGL060W
YLL007C	YLL007C	YLL007C	YLL007C
GCN4	YEL009C	YEL009C	YEL009C
EDC3	YEL015W	YEL015W	YEL015W
WHI5	YOR083W	YOR083W	YOR083W
DUT1	YBR252W	YBR252W	YBR252W
PEX3	YDR329C	YDR329C	YDR329C
MRPL11	YDL202W	YDL202W	YDL202W
CRG1	YHR209W	YHR209W	YHR209W
HAA1	YPR008W	YPR008W	YPR008W
PTP3	YER075C	YER075C	YER075C
ACK1	YDL203C	YDL203C	YDL203C
REG2	YBR050C	YBR050C	YBR050C
VTI1	YMR197C	YMR197C	YMR197C
YDR261W-A	YDR261W-A	YDR261W-A	YDR261W-A
MOH1	YBL049W	YBL049W	YBL049W
GIP2	YER054C	YER054C	YER054C
HNT2	YDR305C	YDR305C	YDR305C
YHL019W-A	YHL019W-A	YHL019W-A	YHL019W-A
PSY2	YNL201C	YNL201C	YNL201C
YHR180W-A	YHR180W-A	YHR180W-A	YHR180W-A
YCR061W	YCR061W	YCR061W	YCR061W
YBR206W	YBR206W	YBR206W	YBR206W
OYE3	YPL171C	YPL171C	YPL171C
COX6	YHR051W	YHR051W	YHR051W
NUP84	YDL116W	YDL116W	YDL116W
CTR1	YPR124W	YPR124W	YPR124W
PET130	YJL023C	YJL023C	YJL023C
PMR1	YGL167C	YGL167C	YGL167C
CDC36	YDL165W	YDL165W	YDL165W
YLR154C-H	YLR154C-H	YLR154C-H	YLR154C-H
YPL119C-A	YPL119C-A	YPL119C-A	YPL119C-A
SSL2	YIL143C	YIL143C	YIL143C
YBR292C	YBR292C	YBR292C	YBR292C
PFK1	YGR240C	YGR240C	YGR240C
ARF3	YOR094W	YOR094W	YOR094W
TAF10	YDR167W	YDR167W	YDR167W
YBR063C	YBR063C	YBR063C	YBR063C
HOM3	YER052C	YER052C	YER052C
PBP1	YGR178C	YGR178C	YGR178C
MRP51	YPL118W	YPL118W	YPL118W
RPO26	YPR187W	YPR187W	YPR187W
DLS1	YJL065C	YJL065C	YJL065C
PPM2	YOL141W	YOL141W	YOL141W
SUA7	YPR086W	YPR086W	YPR086W
MRPL36	YBR122C	YBR122C	YBR122C
EFM2	YBR271W	YBR271W	YBR271W
PAF1	YBR279W	YBR279W	YBR279W
YHR095W	YHR095W	YHR095W	YHR095W
YMR221C	YMR221C	YMR221C	YMR221C
BUD26	YDR241W	YDR241W	YDR241W
IMA4	YJL221C	YJL221C	YJL221C
COM2	YER130C	YER130C	YER130C
CNS1	YBR155W	YBR155W	YBR155W
ESC2	YDR363W	YDR363W	YDR363W
YGR266W	YGR266W	YGR266W	YGR266W
ECM7	YLR443W	YLR443W	YLR443W
PXA1	YPL147W	YPL147W	YPL147W
FUN19	YAL034C	YAL034C	YAL034C
TIP1	YBR067C	YBR067C	YBR067C
OCA4	YCR095C	YCR095C	YCR095C
DCS1	YLR270W	YLR270W	YLR270W
YPR084W	YPR084W	YPR084W	YPR084W
YBR184W	YBR184W	YBR184W	YBR184W
FOL3	YMR113W	YMR113W	YMR113W
YGR035C	YGR035C	YGR035C	YGR035C
FMP45	YDL222C	YDL222C	YDL222C
STP22	YCL008C	YCL008C	YCL008C
SIT1	YEL065W	YEL065W	YEL065W
DDI3	YNL335W	YNL335W	YNL335W
LCB1	YMR296C	YMR296C	YMR296C
HEM1	YDR232W	YDR232W	YDR232W
YGR190C	YGR190C	YGR190C	YGR190C
COX23	YHR116W	YHR116W	YHR116W
PIB1	YDR313C	YDR313C	YDR313C
YFR018C	YFR018C	YFR018C	YFR018C
CAP1	YKL007W	YKL007W	YKL007W
NEO1	YIL048W	YIL048W	YIL048W
NOP6	YDL213C	YDL213C	YDL213C
SSN2	YDR443C	YDR443C	YDR443C
PUS4	YNL292W	YNL292W	YNL292W
YKL183C-A	YKL183C-A	YKL183C-A	YKL183C-A
FRT1	YOR324C	YOR324C	YOR324C
YNL134C	YNL134C	YNL134C	YNL134C
YKL100C	YKL100C	YKL100C	YKL100C
YOR192C-B	YOR192C-B	YOR192C-B	YOR192C-B
ECM23	YPL021W	YPL021W	YPL021W
ATG32	YIL146C	YIL146C	YIL146C
YLR299C-A	YLR299C-A	YLR299C-A	YLR299C-A
MGS1	YNL218W	YNL218W	YNL218W
QDR2	YIL121W	YIL121W	YIL121W
YNL228W	YNL228W	YNL228W	YNL228W
NRP1	YDL167C	YDL167C	YDL167C
THI6	YPL214C	YPL214C	YPL214C
MCP1	YOR228C	YOR228C	YOR228C
BIT2	YBR270C	YBR270C	YBR270C
PET54	YGR222W	YGR222W	YGR222W
CAN1	YEL063C	YEL063C	YEL063C
YAL068W-A	YAL068W-A	YAL068W-A	YAL068W-A
YML020W	YML020W	YML020W	YML020W
MEP1	YGR121C	YGR121C	YGR121C
PCS60	YBR222C	YBR222C	YBR222C
PMT1	YDL095W	YDL095W	YDL095W
MCD1	YDL003W	YDL003W	YDL003W
PRO2	YOR323C	YOR323C	YOR323C
SSO2	YMR183C	YMR183C	YMR183C
MOD5	YOR274W	YOR274W	YOR274W
