! Generated using Ensembl 109 and BioGRID 4.4.222
! Total interactions processed: 576
! total interactions mapped successfully: 411
! total filtered unmapped: 11
! % interactions unmapped: 2.6759999999999997%
! total unmappable IDs (including duplicates): 11
! % IDs unmappable (including duplicates): 1.32053%
! total unmappable proteins (excluding duplicates): 10
! non-physical interactions filtered out: 88
! non-experimental interactions filtered out: 0
! self-loops filtered out: 8
! interspecies interactions filtered out: 58

! 568520 occurs 2 times 	18.2%
! 30076 occurs 1 times 	9.1%
! 445133 occurs 1 times 	9.1%
! 334608 occurs 1 times 	9.1%
! 100535119 occurs 1 times 	9.1%
! 393600 occurs 1 times 	9.1%
! 563381 occurs 1 times 	9.1%
! 796180 occurs 1 times 	9.1%
! 101882408 occurs 1 times 	9.1%
! 751723 occurs 1 times 	9.1%

ADNPA	CTNNB1
BMI1A	CBX4
BMI1A	PHC2A
BMI1A	RNF2
BMI1B	CBX4
BMI1B	PHC2A
BMI1B	RNF2
CAMK2A	CAMK2N1A
CAMK2A	CAMK2N2
CBX4	BMI1A
CBX4	PHC2A
CBX4	RNF2
CRB1	NOTCH1A
CRB2A	NOTCH1A
CTNNB1	ADNPA
CTNNB2	LEF1
CTNNB2	TOB1A
DLC	UBB
DLD	MIB1
DVL1B	NKD2A
E4F1	HDAC1
E4F1	TCF7L1A
EPB41L5	CRB1
EPB41L5	CRB2A
EPB41L5	MIB1
GLI1	SUFU
GLI2A	KIF7
GLI2A	SUFU
HDAC6	BBIP1
HIF1AN	UBC
HOXA2B	RCHY1
JAM2A	JAM3A
JAM2A	JAM3B
JAM3A	F11R.1
JAM3A	F11R.2
JAM3A	JAM2A
JAM3B	JAM2A
KIDINS220B	PDZRN3A
LMNA	AAAS
LMNA	AATF
LMNA	ACSS2
LMNA	ACTN1
LMNA	AHCTF1
LMNA	AKAP1B
LMNA	AL954740.2
LMNA	ANK3B
LMNA	ANLN
LMNA	ARF3B
LMNA	ARHGEF39
LMNA	ARPP19A
LMNA	ATP2A2A
LMNA	AVD
LMNA	BAZ1B
LMNA	BCAP31
LMNA	BCAS2
LMNA	BET1
LMNA	BMB
LMNA	BOP1
LMNA	BX005387.1
LMNA	BX571879.1
LMNA	C23H1ORF52
LMNA	CABZ01058261.1
LMNA	CAPRIN1B
LMNA	CASZ1
LMNA	CBX5
LMNA	CCDC47
LMNA	CDC5L
LMNA	CDC73
LMNA	CDK1
LMNA	CHD4A
LMNA	CHTF18
LMNA	CISD2
LMNA	CMPK
LMNA	CMTR1
LMNA	CNN3A
LMNA	COL11A1A
LMNA	COPS7A
LMNA	CPLX2
LMNA	CPNE7
LMNA	CRATB
LMNA	CRYGM2D7
LMNA	CRYGM2F
LMNA	CT955969.2
LMNA	CTDSPL2A
LMNA	CUL1A
LMNA	CYFIP2
LMNA	CYP2AA8
LMNA	CYP4T8
LMNA	DBN1
LMNA	DDX42
LMNA	DDX46
LMNA	DDX54
LMNA	DDX61
LMNA	DENND5B
LMNA	DNAJC1
LMNA	DNMT3BA
LMNA	DNTTIP2
LMNA	DOT1L
LMNA	DUS3L
LMNA	EBF3A
LMNA	EBNA1BP2
LMNA	EGLN1B
LMNA	EMC7
LMNA	ESF1
LMNA	EXOSC10
LMNA	FAM169AA
LMNA	FAM169AB
LMNA	FAM50A
LMNA	FBN2B
LMNA	FLNCB
LMNA	FREM2B
LMNA	FREM3
LMNA	GNL2
LMNA	GPATCH1
LMNA	GPATCH4
LMNA	GPKOW
LMNA	GTF2F1
LMNA	GTF2F2A
LMNA	H1M
LMNA	HELLS
LMNA	HNRNPC
LMNA	HNRPKL
LMNA	IK
LMNA	ILF3A
LMNA	JPT1B
LMNA	KAT14
LMNA	KDM2AB
LMNA	KIF20A
LMNA	KIF23
LMNA	KIF5BA
LMNA	KPNA4
LMNA	LBR
LMNA	LDHBB
LMNA	LEMD3
LMNA	LMF2B
LMNA	LMNB1
LMNA	LMNB2
LMNA	LMNL3
LMNA	LRRC59
LMNA	MAD1L1
LMNA	MCM3AP
LMNA	MKI67
LMNA	MRPS2
LMNA	NAA15A
LMNA	NAT10
LMNA	NCOR1
LMNA	NDC1
LMNA	NDUFA6
LMNA	NELFE
LMNA	NHP2
LMNA	NIFK
LMNA	NIPBLB
LMNA	NOL6
LMNA	NOP56
LMNA	NUP107
LMNA	NUP133
LMNA	NUP153
LMNA	NUP155
LMNA	NUP160
LMNA	NUP205
LMNA	NUP210
LMNA	NUP214
LMNA	NUP50
LMNA	NUP93
LMNA	NUP98
LMNA	ORC3
LMNA	PBRM1L
LMNA	PCNP
LMNA	PCYT1AA
LMNA	PINX1
LMNA	PLK1
LMNA	POGZB
LMNA	POLR2B
LMNA	POM121
LMNA	PPIL2
LMNA	PPP2R5D
LMNA	PRKRIP1
LMNA	PRPF18
LMNA	PRPF8
LMNA	PRR14
LMNA	PSME3IP1
LMNA	PTBP1B
LMNA	PTGIS
LMNA	RAB21
LMNA	RAB3C
LMNA	RAB5AA
LMNA	RAB8A
LMNA	RBFOX1L
LMNA	RBM34
LMNA	RBM5
LMNA	RNASEH2B
LMNA	RNMT
LMNA	RPL36
LMNA	RRP15
LMNA	RSF1B.1
LMNA	RTF2
LMNA	SAE1
LMNA	SAFB
LMNA	SEC22BA
LMNA	SEC22BB
LMNA	SEC61B
LMNA	SEPT7B
LMNA	SI:CH211-198A12.6
LMNA	SI:CH211-207I1.2
LMNA	SI:DKEY-23A13.9
LMNA	SI:DKEY-56M19.5
LMNA	SLU7
LMNA	SMARCA4A
LMNA	SMARCB1B
LMNA	SMARCC1A
LMNA	SMARCD3A
LMNA	SMEK1
LMNA	SNRPC
LMNA	SNW1
LMNA	SPCS2
LMNA	SPDL1
LMNA	SRP72
LMNA	SRPRA
LMNA	SSBP3B
LMNA	SSR1
LMNA	STIM1A
LMNA	STOM
LMNA	SUGP1
LMNA	SUN1
LMNA	SYNE1A
LMNA	SYNE3
LMNA	TAF6
LMNA	TEAD3B
LMNA	TGM1L1
LMNA	THOC1
LMNA	TIMELESS
LMNA	TLK2
LMNA	TMEM209
LMNA	TMEM214
LMNA	TMPOA
LMNA	TMPOB
LMNA	TOMM34
LMNA	TOPBP1
LMNA	TPRB
LMNA	TRIP12
LMNA	TRNAU1APB
LMNA	TSSC4
LMNA	TUBB6
LMNA	TXN
LMNA	UBC
LMNA	UOX
LMNA	USE1
LMNA	USP34
LMNA	USP7
LMNA	VAPAL
LMNA	VAPB
LMNA	VRK3
LMNA	WDR3
LMNA	WDR33
LMNA	XRN2
LMNA	YEATS2
LMNA	YJU2
LMNA	YOD1
LMNA	YTHDF1
LMNA	YTHDF2
LMNA	ZBTB16A
LMNA	ZC3H4
LMNA	ZFHX4
LMNA	ZGC:136908
LMNA	ZGC:152977
LMNA	ZGC:153426
LMNA	ZGC:154164
LMNA	ZGC:158846
LMNA	ZGC:77056
LMNA	ZGC:92287
LMNA	ZMP:0000000624
LMNA	ZNF281B
