Gene stable ID	NCBI gene (formerly Entrezgene) ID	UniProtKB/Swiss-Prot ID	UniProtKB/TrEMBL ID	Gene name
WBGene00000001	172141		G5EDP9	aap-1
WBGene00000002	177793		Q19834	aat-1
WBGene00000003	184126		Q19151	aat-2
WBGene00000004	180557		O17395	aat-3
WBGene00000004	180557		A0A0K3AVL7	aat-3
WBGene00000005	177388		Q7YXH5	aat-4
WBGene00000006	171814		H2KZG9	aat-5
WBGene00000007	188421	Q22397		aat-6
WBGene00000007	188421	Q22397		aat-6
WBGene00000008	186240		O44832	aat-7
WBGene00000009	185079		Q94197	aat-8
WBGene00000010	190250		Q9NA91	aat-9
WBGene00000010	190250		Q56VY0	aat-9
WBGene00000012	266827	G5EGC4		abf-1
WBGene00000013	266826	G5EC68		abf-2
WBGene00000014	186202		O45563	abf-3
WBGene00000015	189702		Q9XX40	abf-4
WBGene00000016	188770		G5EFQ2	abf-5
WBGene00000017	181418		G5EBS3	abf-6
WBGene00000018	181261	P03949		abl-1
WBGene00000018	181261	P03949		abl-1
WBGene00000018	181261	P03949		abl-1
WBGene00000018	181261		A0A5E4LZL8	abl-1
WBGene00000018	181261		A0A5E4LZH0	abl-1
WBGene00000019	182849		S6EZS3	abt-1
WBGene00000019	182849		S6FN28	abt-1
WBGene00000020	171782		Q1RS86	abt-2
WBGene00000020	171782		X5LXB2	abt-2
WBGene00000022	178559		Q9TXV8	abt-4
WBGene00000023	173081		Q9XW49	abt-5
WBGene00000024	181800		Q17400	abu-1
WBGene00000025	184695		Q19594	abu-2
WBGene00000027	353458		Q86S74	abu-4
WBGene00000028	190870		Q9NF70	abu-5
WBGene00000029	178903		O16501	abu-6
WBGene00000030	182139		O16502	abu-7
WBGene00000031	178904		O16511	abu-8
WBGene00000032	187749		G5EGB7	abu-9
WBGene00000033	185248		Q20002	abu-10
WBGene00000034	173404		P91419	abu-11
WBGene00000035	181706	P38433		ace-1
WBGene00000036	171905		G5EDV9	ace-2
WBGene00000036	171905		G5EDV9	ace-2
WBGene00000037	175076		Q9U295	ace-3
WBGene00000038	175074		G5EDN1	ace-4
WBGene00000039	180780	Q18581		acn-1
WBGene00000040	181324	Q23500		aco-1
WBGene00000041	176121	P34455		aco-2
WBGene00000041	176121	P34455		aco-2
WBGene00000041	176121	P34455		aco-2
WBGene00000041	176121	P34455		aco-2
WBGene00000042	180936	P48182		acr-2
WBGene00000043	180937	Q93149		acr-3
WBGene00000044	191596	P54246		acr-5
WBGene00000045	191479		Q9N4M3	acr-6
WBGene00000046	174262	P45963		acr-7
WBGene00000047	181246		Q23355	acr-8
WBGene00000047	181246		Q23355	acr-8
WBGene00000048	191597		Q18556	acr-9
WBGene00000049	191598		Q21645	acr-10
WBGene00000050	191599		P91197	acr-11
WBGene00000051	181475		G5EDF1	acr-12
WBGene00000051	181475		A0A0K3ATC5	acr-12
WBGene00000053	191601		Q22224	acr-14
WBGene00000054	191602		O16926	acr-15
WBGene00000055	179235	P48180		acr-16
WBGene00000056	191603		Q6F6K3	acr-17
WBGene00000056	191603		A0A0M7RFG1	acr-17
WBGene00000056	191603		A0A0M7RDU0	acr-17
WBGene00000056	191603		A0A0M7REC3	acr-17
WBGene00000057	191604		G5EG72	acr-18
WBGene00000058	191605		G5EGB5	acr-19
WBGene00000058	191605		B3WFZ2	acr-19
WBGene00000059	187632		Q9U398	acr-20
WBGene00000059	187632		Q7JKI4	acr-20
