Gene stable ID	NCBI gene (formerly Entrezgene) ID	UniProtKB/Swiss-Prot ID	Gene name
YPL071C	856034	Q02864	
YLL050C	850676	Q03048	COF1
YMR172W	855208	Q03213	HOT1
YOR185C	854357	P32836	GSP2
YLL032C	850627	Q07834	
YBR225W	852526	P38321	
YEL041W	856670	P32622	YEF1
YOR237W	854412	P35843	HES1
YMR027W	855042	Q04371	
YBR182C-A	1466446	Q8TGU6	
YKL103C	853758	P14904	
YOL048C	854109	Q08219	RRT8
YIR015W	854832	P40571	RPR2
YNR017W	855751	P32897	TIM23
YBL055C	852225	P34220	
YML089C		Q04502	
YOL144W	854021	Q08287	NOP8
YDL246C	851351	Q07786	SOR2
YDL243C	851354	Q07747	AAD4
YDR387C	851995	Q04162	CIN10
YMR290C	855335	Q03532	HAS1
YOR082C		Q08498	
YCR031C	850397	P06367	RPS14A
YBR293W	852596	P38358	VBA2
YJL160C	853280	P46999	PIR5
YBR223W-A		Q8TGQ3	
YMR139W	855170	P38615	RIM11
YNL105W		P50943	RRT16
YDL094C		Q07509	
YDR438W	852048	Q04083	THI74
YDR523C	852135	P08458	SPS1
YDR542W	852155	Q03050	PAU10
YIL156W-A		A0A023PXG3	
YLR466W	851187	O13559	YRF1-4
YPL208W	855893	Q08961	RKM1
YLR054C	850743	Q12202	OSW2
YER011W	856729	P10863	TIR1
YLR437C	851157	O13577	DIF1
YPL102C		O13517	
YNR069C	855806	P53755	BSC5
YDR492W	852102	Q03419	IZH1
YIL115W-A		A0A023PZJ9	
YMR191W	855229	P42933	SPG5
YIL086C		P40503	
YOL072W	854082	Q08231	THP1
YOR114W	854281	Q12219	
YIL156W-B	3628034	Q2V2P4	
YHR094C	856494	P32465	HXT1
YOL085C		Q99345	
YFL031C-A		Q8TGU3	
YHL031C	856354	P38736	GOS1
YOR385W	854567	Q08909	
YGL087C	852793	P53152	MMS2
YMR244C-A	855287	Q3E846	COA6
YNL306W	855410	P42847	MRPS18
YOR214C	854389	Q12282	SPR2
YAL037W	851194	P39728	
YLR217W		O13532	
YLL056C	850670	Q12177	
YOL119C	854030	Q08268	MCH4
YJL204C	853226	P39531	RCY1
YAL016W	851217	P31383	TPD3
YIL146C	854660	P40458	ATG32
YCL011C	850346	P25555	GBP2
YLR128W	850819	Q12395	DCN1
YKL131W		P36067	
YDR018C	851581	Q12185	
YOR019W	854184	Q99248	
YNL288W	855428	P53829	CAF40
YCL040W	850317	P17709	GLK1
YER158W-A		Q8TGR3	
YNL191W	855530	P53871	DUG3
YBR115C	852412	P07702	LYS2
YGL156W	852721	P22855	AMS1
YNL150W		P53902	
YCR052W	850419	P25632	RSC6
YGL015C	852869	P33199	
YOR206W	854381	P39744	NOC2
YMR091C	855116	P32832	NPL6
YMR173W-A		A0A023PXQ4	
YJR105W	853569	P47143	ADO1
YHL002W	856387	P38753	HSE1
YCR100C	850464	P25606	
YOR345C		Q08811	
YPL217C	855884	Q08965	BMS1
YOR341W	854519	P10964	RPA190
YDL189W	851338	Q05672	RBS1
YLR279W		O13540	
YHR219C-A		P0CL34	
YHR219C-A		P0CL35	
YHR219C-A		P0CL36	
YER056C-A	856784	P87262	RPL34A
YMR180C	855218	Q03220	CTL1
YNL097C	855626	P50947	PHO23
YDR508C	852121	P48813	GNP1
YHR045W	856441	P38775	
YML020W	854988	Q03722	
YGR251W	853166	P53317	NOP19
YPL197C		Q08953	
YBR031W	852319	P10664	RPL4A
YDR462W	852073	P36527	MRPL28
YPR139C	856261	Q06508	
YPR169W	856298	Q06214	JIP5
YPL257W	855818	Q08974	
YOL088C	854065	Q99316	MPD2
YLR075W	850764	P41805	RPL10
YML088W	854886	Q04511	UFO1
YIL010W	854805	P40553	DOT5
YBL108C-A			PAU9
YDR175C	851755	Q03976	RSM24
YLR052W	850741	Q12345	IES3
YKR004C	853873	Q02202	ECM9
YNL137C	855585	P27929	NAM9
YNL331C	855385	P42884	AAD14
YFL026W	850518	D6VTK4	STE2
YBR116C		P38268	
YJR129C	853593	P47163	EFM3
YKR092C	853967	P32583	SRP40
YDR186C	851767	Q04007	SND1
YML077W	854898	Q03630	BET5
YEL067C	856643	P39978	
YJL139C	853302	P26725	YUR1
YKL002W	853868	P36108	DID4
YGR162W	853071	P39935	TIF4631
YLR159C-A	1466410	P0CY05	
YLR159C-A	1466411	P0CY05	
YLR159C-A	1466415	P0CY05	
YLR159C-A	1466414	P0CY05	
YLR159C-A	1466410	P0CY02	
YLR159C-A	1466411	P0CY02	
YLR159C-A	1466415	P0CY02	
YLR159C-A	1466414	P0CY02	
YLR159C-A	1466410	P0CY04	
YLR159C-A	1466411	P0CY04	
YLR159C-A	1466415	P0CY04	
YLR159C-A	1466414	P0CY04	
YLR159C-A	1466410	P0CY03	
YLR159C-A	1466411	P0CY03	
YLR159C-A	1466415	P0CY03	
YLR159C-A	1466414	P0CY03	
YDR150W	851727	Q00402	NUM1
YEL054C	852026	P0CX54	RPL12A
YEL054C	856656	P0CX54	RPL12A
YEL054C	852026	P0CX53	RPL12A
YEL054C	856656	P0CX53	RPL12A
YOR392W		Q08915	
YPL009C	856098	Q12532	RQC2
YLR025W	850712	P39929	SNF7
YDR243C	851830	P23394	PRP28
YGR005C	852888	P41896	TFG2
YOR160W	854331	Q99189	MTR10
YLR049C	850738	Q12110	
YLR308W	851017	Q06703	CDA2
YOR084W	854251	Q12405	LPX1
YNL030W	852294	P02309	HHF2
YNL030W	855701	P02309	HHF2
YHR084W	856484	P13574	STE12
YLR032W	850719	P32849	RAD5
YOR039W	854204	P38930	CKB2
YBR241C	852543	P38142	
YEL047C	856664	P32614	
YML125C	854914	Q12746	PGA3
YOR264W	854437	Q08729	DSE3
YPL183C	855919	Q08924	RTT10
YNL297C	855420	P48563	MON2
YPR065W	856178	P25042	ROX1
YNL102W	855621	P13382	POL1
YPR099C		O13548	
YCR107W	850471	P25612	AAD3
YMR318C	855368	Q04894	ADH6
YPR032W	856144	Q12038	SRO7
YOR281C	854456	Q12017	PLP2
YMR115W	855142	Q04472	MGR3
YFR027W	850584	P43605	ECO1
YMR266W	855308	Q03516	RSN1
YDL182W	851346	P48570	LYS20
YER146W	856889	P40089	LSM5
YLR251W	850953	Q06563	SYM1
YBR182C	852480	P38128	SMP1
YDR362C	851964	Q06339	TFC6
YNR026C	855760	P11655	SEC12
YBR134W		P38275	
YHR126C	856527	P38832	ANS1
YPR194C	856324	Q06593	OPT2
YGL160W	852716	P53109	AIM14
YAL003W	851260	P32471	EFB1
YPL084W	856021	P48582	BRO1
YNL152W	855570	P53901	INN1
YCL002C	850353	P25565	
YIL117C	854689	P40476	PRM5
YBL037W	852243	P38065	APL3
YNL140C	855582	P53910	
