Gene name	NCBI gene (formerly Entrezgene) ID	UniProtKB/Swiss-Prot ID	UniProtKB/TrEMBL ID	Gene stable ID
MT-ND1	4535	P03886	U5Z754	ENSG00000198888
MT-ND2	4536	P03891	A0A1X7RBG6	ENSG00000198763
MT-ND2	4536	P03891	Q7GXY9	ENSG00000198763
MT-CO1	4512	P00395	U5YWV7	ENSG00000198804
MT-CO1	4512	P00395	A0A1X7RBG2	ENSG00000198804
MT-CO2	4513	P00403	U5Z487	ENSG00000198712
MT-CO2	4513	P00403	A0A1X7RBF7	ENSG00000198712
MT-ATP8	4509	P03928	U5YV54	ENSG00000228253
MT-ATP8	4509	P03928	A0A1X7RCP4	ENSG00000228253
MT-ATP6	4508	P00846	Q0ZFE3	ENSG00000198899
MT-CO3	4514	P00414	Q7GIM7	ENSG00000198938
MT-CO3	4514	P00414	A0A1X7RBF0	ENSG00000198938
MT-ND3	4537	P03897	Q7GXZ5	ENSG00000198840
MT-ND4L	4539	P03901	Q7GXZ4	ENSG00000212907
MT-ND4L	4539	P03901	A0A1X7RC16	ENSG00000212907
MT-ND4	4538	P03905	H9EC08	ENSG00000198886
MT-ND4	4538	P03905	A0A1X7RBN5	ENSG00000198886
MT-ND5	4540	P03915	U5ZC31	ENSG00000198786
MT-ND6	4541	P03923	A0A1X7RCR6	ENSG00000198695
MT-ND6	4541	P03923	U5Z977	ENSG00000198695
MT-CYB	4519	P00156	Q0ZFD6	ENSG00000198727
				ENSG00000278704
KIR3DL1	3811		A0A0G2JQ40	ENSG00000276379
KIR2DL1	3802		Q6H2H2	ENSG00000276820
KIR2DS4	3809			ENSG00000274714
KIR2DS4	3809			ENSG00000274324
KIR2DS5	3810		A0A7D4Y677	ENSG00000275047
KIR2DL3	3804	P43628	E3NZD8	ENSG00000277554
KIR2DS4	3809	P43632	A0A0C4ZN05	ENSG00000276885
KIR2DS3	3808	Q14952	K7QT50	ENSG00000278306
KIR2DL2	3803		A0A0C4ZN23	ENSG00000275407
KIR2DS4	3809			ENSG00000274807
KIR2DL3	3804		A0A0G2JNW9	ENSG00000273947
KIR2DL2	3803		A0A0C4ZN23	ENSG00000278731
KIR2DL4	3805		A0A0B4J1S6	ENSG00000275699
KIR2DL1	3802		Q6H2H2	ENSG00000278805
NCR1	9437		A0A0G2JM44	ENSG00000277334
KIR2DS4	3809			ENSG00000277345
NCR1	9437		A0A0G2JNH1	ENSG00000277334
NCR1	9437		A0A0G2JMJ3	ENSG00000277334
NCR1	9437		A0A0G2JN63	ENSG00000277334
KIR2DL4	3805		A0A0B4J1S6	ENSG00000275237
KIR2DL4	3805		A0A0B4J1S6	ENSG00000273575
KIR2DL4	3805		A0A0G2JQ39	ENSG00000273575
KIR2DL4	3805		E7EST5	ENSG00000275699
KIR2DL4	3805	Q99706	A0A376A929	ENSG00000273575
KIR2DL4	3805		A0A0G2JMD1	ENSG00000273575
KIR2DL4	3805		E7EST5	ENSG00000275237
KIR3DL2	3812		A0A0G2JPQ5	ENSG00000276424
KIR3DL2	3812		A0A0G2JP59	ENSG00000273735
	102724250			ENSG00000271254
KIR2DL2	3803		A0A0C4ZN23	ENSG00000275914
KIR3DL2	3812		A0A0G2JNA1	ENSG00000273735
KIR3DL2	3812		A0A0G2JM59	ENSG00000276424
PCMTD2	55251	Q9NV79		ENSG00000280663
PCMTD2	55251		V9GZ41	ENSG00000280663
KIR2DL4	3805		A0A0G2JLN0	ENSG00000275699
PCMTD2	55251		V9GYL1	ENSG00000280663
KIR2DL4	3805	Q99706	A0A376A929	ENSG00000275699
KIR2DS5	3810		A0A0G2JLQ3	ENSG00000276676
KIR3DL3	115653		A0A0G2JN57	ENSG00000277620
PCMTD2	55251		V9GYZ7	ENSG00000280663
KIR2DL4	3805		E7EST5	ENSG00000273575
PCMTD2	55251		A0A0G2JR02	ENSG00000280663
KIR2DS2	100132285		K7R1S5	ENSG00000276258
KIR2DL3	3804	P43628	E3NZD8	ENSG00000277317
KIR2DL5B	553128		B0L653	ENSG00000275946
KIR2DL4	3805		K7RE46	ENSG00000274189
PCMTD2	55251		A0A0G2JM70	ENSG00000280663
OPRL1	4987		A0A0G2JQE4	ENSG00000277044
KIR2DL1	3802		E7BWR8	ENSG00000277616
NPBWR2	2832	P48146		ENSG00000277339
KIR2DL4	3805	Q99706		ENSG00000278074
KIR2DL1	3802		A0A0G2JQ35	ENSG00000278207
KIR2DL4	3805	Q99706		ENSG00000276779
KIR2DL4	3805		A0A0G2JN69	ENSG00000274189
KIR2DL3	3804	P43628	E3NZD8	ENSG00000277484
KIR3DL3	115653		A0A0C4ZR07	ENSG00000276433
KIR3DP1			A0A0G2JN01	ENSG00000276518
KIR3DL2	3812		A0A0G2JMA3	ENSG00000275511
KIR2DS2	100132285		K7R1S5	ENSG00000278152
KIR3DL2	3812		A0A0G2JNN5	ENSG00000275511
FCAR	2204	P24071		ENSG00000276858
KIR2DS2	100132285		A0A0G2JND2	ENSG00000278152
KIR3DL3	115653		A0A0B4J1R5	ENSG00000276930
PTCHD3	374308	Q3KNS1		ENSG00000276595
KIR3DL1	3811	P43629	Q5UCE2	ENSG00000276423
PTCHD3	374308		A0A087WVH3	ENSG00000276595
KIR3DL3	115653		A0A0C4ZQX3	ENSG00000274696
KIR2DL2	3803		Q8N742	ENSG00000277725
KIR2DL4	3805		Q86U48	ENSG00000277355
KIR3DL3	115653		A0A0C4ZQX3	ENSG00000276328
KIR2DL4	3805		A0A0B4J1S6	ENSG00000276044
KIR2DL4	3805		Q86U48	ENSG00000275732
KIR2DS4	3809	P43632	A0A0C4ZN05	ENSG00000274957
KIR2DL4	3805		A0A0G2JNE8	ENSG00000277355
KIR2DS4	3809	P43632	A0A0C4ZN05	ENSG00000274406
KIR2DL4	3805		A0A0G2JNE8	ENSG00000275732
KIR2DS2	100132285		K7R1S5	ENSG00000276425
KIR2DL1	3802		Q6H2H3	ENSG00000273510
KIR3DL3	115653		A0A0G2JLS9	ENSG00000274696
FCAR	2204	P24071	A0A024R4M5	ENSG00000276858
KIR2DS1	3806		A0A7D4Y6C7	ENSG00000275421
KIR3DL3	115653		A0A0G2JM09	ENSG00000276086
KIR2DS4	3809		A0A0G2JNE3	ENSG00000273526
KIR2DS1	3806		A0A7D4Y6C7	ENSG00000273603
KIR3DL3	115653		A0A0G2JQ37	ENSG00000275433
KIR2DL5A	57292		A0A191URI1	ENSG00000275596
KIR2DL4	3805	Q99706	A0A376A929	ENSG00000276044
KIR3DL1	3811		Q5UCD9	ENSG00000274948
KIR2DL4	3805		K7QUT1	ENSG00000275848
KIR2DL3	3804	P43628		ENSG00000274830
KIR3DL1	3811		Q5UCD8	ENSG00000276501
KIR2DL1	3802		A0A0G2JQ06	ENSG00000274782
KIR3DS1	3813		O43469	ENSG00000276534
KIR2DS2	100132285		K7R1S5	ENSG00000274518
KIR2DL4	3805		E7EST5	ENSG00000276044
KIR2DL4	3805		A0A0G2JLN0	ENSG00000276044
KIR2DS5	3810		A0A7D4Y677	ENSG00000277650
KIR2DS4	3809			ENSG00000277078
KIR3DL1	3811	P43629	Q5UCE2	ENSG00000275288
KIR2DL2	3803		Q8N742	ENSG00000273661
KIR3DL1	3811		A0A0G2JNM4	ENSG00000275659
KIR3DL1	3811		Q5UCD8	ENSG00000276329
FCAR	2204	P24071	A0A024R4N4	ENSG00000276858
KIR3DL1	3811		Q6H2G3	ENSG00000273775
MYT1			Q6P6D5	ENSG00000276876
KIR3DL1	3811		Q6H2G3	ENSG00000277272
MYT1		Q01538		ENSG00000276876
KIR2DL1	3802		Q6H2H3	ENSG00000275276
KIR3DL3	115653		A0A0G2JNI5	ENSG00000275172
KIR2DS2	100132285		Q14950	ENSG00000276139
KIR2DL5B	553128		A0A330IXA5	ENSG00000275436
KIR2DS2	100132285		K7R1S5	ENSG00000276139
INTS3	65123	Q68E01		ENSG00000262826
KIR2DL4	3805		K7RE46	ENSG00000274945
KIR3DL1	3811		A0A0G2JN48	ENSG00000275659
KIR2DS2	100132285		A0A0G2JPR7	ENSG00000276139
KIR2DS3	3808		K7RE56	ENSG00000277193
KIR3DL1	3811		A0A0G2JM66	ENSG00000273775
KIR2DL4	3805		A0A0G2JNI1	ENSG00000274945
KIR3DL1	3811		A0A0G2JM66	ENSG00000277272
KIR2DL5A	57292		B0L652	ENSG00000276392
KIR2DL4	3805		A0A0G2JMQ9	ENSG00000274945
KIR2DL4	3805		A0A0G2JNE8	ENSG00000274945
			A0A0G2JS52	ENSG00000275018
KIR2DL5A	57292		A0A191URI1	ENSG00000274676
KIR2DL2	3803		Q8N742	ENSG00000273578
FCAR	2204	P24071	A0A024R4R4	ENSG00000276858
KIR3DL2	3812	P43630	A0A0U1WNF3	ENSG00000274722
KIR3DL2	3812	P43630		ENSG00000274722
KIR2DL1	3802		Q6H2H3	ENSG00000278755
KIR2DL4	3805		A0A0G2JN69	ENSG00000274945
KIR3DL1	3811		A0A0G2JLX2	ENSG00000275786
NCR1	9437		A0A0G2JM44	ENSG00000275521
KIR3DL3	115653		A0A0G2JM09	ENSG00000274724
NCR1	9437		A0A0G2JNH1	ENSG00000275521
NCR1	9437		A0A0G2JMJ3	ENSG00000275521
NCR1	9437		A0A0G2JN63	ENSG00000275521
KIR2DS5	3810		A0A0G2JLM5	ENSG00000274243
KIR2DL1	3802		A0A0G2JPY8	ENSG00000275080
KIR3DL1	3811		A0A0G2JPH7	ENSG00000275786
KIR2DL5B	553128		A0A0G2JN68	ENSG00000278414
KIR3DL1	3811		E0X074	ENSG00000275717
KIR3DL1	3811		A0A0G2JMK7	ENSG00000275786
KIR2DL3	3804	P43628		ENSG00000273887
NCR1	9437		A0A0G2JM44	ENSG00000276450
FCAR	2204	P24071		ENSG00000276985
FCAR	2204	P24071		ENSG00000273738
KIR3DL1	3811		A0A0G2JNF3	ENSG00000275717
KIR3DL1	3811		A0A0G2JP89	ENSG00000275717
KIR3DL3	115653		A0A0G2JNJ1	ENSG00000274480
KIR2DS2	100132285	P43631	K7R1S5	ENSG00000275452
KIR2DL3	3804		A0A0G2JPP8	ENSG00000278369
KIR3DL2	3812	P43630	A0A0U5FLC8	ENSG00000276004
KIR2DL4	3805	Q99706		ENSG00000277964
KIR2DS2	100132285		A0A0G2JND2	ENSG00000275452
INTS3	65123		A0A096LNW8	ENSG00000262826
KIR3DL2	3812		Q6H2F6	ENSG00000278850
KIR3DL2	3812		A0A0G2JMI1	ENSG00000276004
KIR3DS1	3813		O43469	ENSG00000275608
KIR3DP1			A0A0G2JN09	ENSG00000274610
