GENE NAME	Gene stable ID	Transcript stable ID	Protein stable ID	UniProtKB/Swiss-Prot ID	UniProtKB/TrEMBL ID
YELLOW-E	FBgn0041711	FBtr0082757	FBpp0082225		Q9VFV1
CG7296	FBgn0032283	FBtr0080129	FBpp0079718		Q8SXV4
CG7296	FBgn0032283	FBtr0336850	FBpp0307809		Q8SXV4
CG18765	FBgn0042110	FBtr0113346	FBpp0112258		Q4V4D1
CG14356	FBgn0038207	FBtr0082908	FBpp0082369		Q9VFM6
CG14561	FBgn0037149	FBtr0078480	FBpp0078133		Q9VNW2
CG14561	FBgn0037149	FBtr0334111	FBpp0306231		Q9VNW2
CCAP	FBgn0039007	FBtr0084333	FBpp0083726	Q9VCW0	A0A1B2AKX3
CCAP	FBgn0039007	FBtr0335007	FBpp0307015	Q9VCW0	A0A1B2AKX3
CG4681	FBgn0069913	FBtr0301624	FBpp0072248		Q8T906
CG4681	FBgn0069913	FBtr0301624	FBpp0072248		Q9W144
MT2	FBgn0028707	FBtr0342603	FBpp0309545		Q9U6H7
MT2	FBgn0028707	FBtr0342603	FBpp0309545		Q8MSZ1
MT2	FBgn0028707	FBtr0342603	FBpp0309545		Q9VKB3
MT2	FBgn0028707	FBtr0110911	FBpp0110211		Q9VKB3
CG34258	FBgn0085287	FBtr0112452	FBpp0111367		H0RN98
CG34258	FBgn0085287	FBtr0112452	FBpp0111367		E0R920
CG34258	FBgn0085287	FBtr0112452	FBpp0111367		A8JNW0
LCP65AB1	FBgn0020644	FBtr0076994	FBpp0076702	P92192	P92184
LCP65AB1	FBgn0020644	FBtr0076994	FBpp0076702	P92192	C9QP88
TYF	FBgn0026083	FBtr0305185	FBpp0293715		Q8MSV7
TYF	FBgn0026083	FBtr0305185	FBpp0293715		Q7K765
TYF	FBgn0026083	FBtr0305185	FBpp0293715		E1JJD6
TYF	FBgn0026083	FBtr0305180	FBpp0293710		E1JJD6
TYF	FBgn0026083	FBtr0305179	FBpp0293709		E1JJD6
TYF	FBgn0026083	FBtr0305181	FBpp0293711		A8WHF5
TYF	FBgn0026083	FBtr0305181	FBpp0293711		Q7K764
TYF	FBgn0026083	FBtr0305181	FBpp0293711		Q95RH4
TYF	FBgn0026083	FBtr0305181	FBpp0293711		E1JJD6
TYF	FBgn0026083	FBtr0305181	FBpp0293711		Q9W4M7
TYF	FBgn0026083	FBtr0305184	FBpp0293714		E1JJD6
TYF	FBgn0026083	FBtr0070643	FBpp0070611		Q9W4M7
TYF	FBgn0026083	FBtr0345713	FBpp0311757		Q9W4M7
TYF	FBgn0026083	FBtr0301124	FBpp0290346		E1JJD6
TYF	FBgn0026083	FBtr0305182	FBpp0293712		Q9W4M7
TYF	FBgn0026083	FBtr0305183	FBpp0293713		E1JJD6
TYF	FBgn0026083	FBtr0300931	FBpp0290153		Q9W4M7
DTR	FBgn0023090	FBtr0081516	FBpp0081044	Q8INT5
LCP65AB2	FBgn0020643	FBtr0076992	FBpp0076701	P92192	C9QP88
CG10777	FBgn0029979	FBtr0071132	FBpp0071084		Q9W3M7
CG10777	FBgn0029979	FBtr0344137	FBpp0310551		Q9W3M7
EAST	FBgn0261954	FBtr0303047	FBpp0292166		Q7KW02
EAST	FBgn0261954	FBtr0307290	FBpp0298291		O46048
EAST	FBgn0261954	FBtr0303046	FBpp0292165		Q9NGR9
EAST	FBgn0261954	FBtr0303046	FBpp0292165		Q8MQW2
EAST	FBgn0261954	FBtr0303046	FBpp0292165		Q7KW02
EAST	FBgn0261954	FBtr0307289	FBpp0298290		A9UN15
EAST	FBgn0261954	FBtr0307289	FBpp0298290		D2NUL4
EAST	FBgn0261954	FBtr0307289	FBpp0298290		Q9NGR9
EAST	FBgn0261954	FBtr0307289	FBpp0298290		O46048
EAST	FBgn0261954	FBtr0343522	FBpp0310126		D0Z755
EAST	FBgn0261954	FBtr0343522	FBpp0310126		X2JDX3
EAST	FBgn0261954	FBtr0070326	FBpp0070312		Q7KW02
CG34166	FBgn0085195	FBtr0301737	FBpp0290951		Q8MYT4
CG34166	FBgn0085195	FBtr0112357	FBpp0111272		Q8MYT4
CG34166	FBgn0085195	FBtr0345461	FBpp0311579		Q8MYT4
CG34166	FBgn0085195	FBtr0343708	FBpp0310288		Q8MYT4
PGRP-SB2	FBgn0043577	FBtr0075320	FBpp0075079	Q9VV96	C9QNY3
PGRP-SB2	FBgn0043577	FBtr0333627	FBpp0305802		M9PFJ1
CG4577	FBgn0031306	FBtr0077957	FBpp0077622		Q8SWU4
CG4577	FBgn0031306	FBtr0332271	FBpp0304560		M9PDX2
MNT	FBgn0023215	FBtr0070579	FBpp0070554		Q8SY46
MNT	FBgn0023215	FBtr0301823	FBpp0291037		E1JJE8
MNT	FBgn0023215	FBtr0301821	FBpp0291035		Q9W4Q7
MNT	FBgn0023215	FBtr0343578	FBpp0310175		X2JDM5
MNT	FBgn0023215	FBtr0307278	FBpp0298279		M9NDN0
MNT	FBgn0023215	FBtr0307277	FBpp0298278		Q8SY46
